idade,principio_ativo,quantidade_vendida,ano
35,AZITROMICINA DI-HIDRATADA,201,2020
35,AZITROMICINA DI-HIDRATADA,150,2020
30,AZITROMICINA DI-HIDRATADA,131,2020
39,AZITROMICINA DI-HIDRATADA,121,2020
34,AZITROMICINA DI-HIDRATADA,120,2020
35,AZITROMICINA DI-HIDRATADA,114,2020
50,AZITROMICINA DI-HIDRATADA,104,2020
42,AZITROMICINA DI-HIDRATADA,103,2020
34,AZITROMICINA DI-HIDRATADA,103,2020
40,AZITROMICINA DI-HIDRATADA,98,2020
36,AZITROMICINA DI-HIDRATADA,95,2020
30,AZITROMICINA DI-HIDRATADA,92,2020
35,AZITROMICINA DI-HIDRATADA,92,2020
36,AZITROMICINA DI-HIDRATADA,92,2020
38,AZITROMICINA DI-HIDRATADA,92,2020
45,AZITROMICINA DI-HIDRATADA,91,2020
33,AZITROMICINA DI-HIDRATADA,91,2020
35,AZITROMICINA DI-HIDRATADA,90,2020
32,AZITROMICINA DI-HIDRATADA,90,2020
45,AZITROMICINA DI-HIDRATADA,89,2020
43,AZITROMICINA DI-HIDRATADA,89,2020
41,AZITROMICINA DI-HIDRATADA,88,2020
35,AZITROMICINA DI-HIDRATADA,87,2020
35,AZITROMICINA DI-HIDRATADA,87,2020
33,AZITROMICINA DI-HIDRATADA,87,2020
30,AZITROMICINA DI-HIDRATADA,86,2020
29,AZITROMICINA DI-HIDRATADA,85,2020
32,AZITROMICINA DI-HIDRATADA,85,2020
33,AZITROMICINA DI-HIDRATADA,84,2020
31,AZITROMICINA DI-HIDRATADA,84,2020
58,AZITROMICINA DI-HIDRATADA,83,2020
32,AZITROMICINA DI-HIDRATADA,83,2020
30,AZITROMICINA DI-HIDRATADA,83,2020
29,AZITROMICINA DI-HIDRATADA,83,2020
35,AZITROMICINA DI-HIDRATADA,82,2020
45,AZITROMICINA DI-HIDRATADA,82,2020
36,AZITROMICINA DI-HIDRATADA,82,2020
50,AZITROMICINA DI-HIDRATADA,82,2020
45,AZITROMICINA DI-HIDRATADA,81,2020
30,AZITROMICINA DI-HIDRATADA,81,2020
40,AZITROMICINA DI-HIDRATADA,81,2020
33,AZITROMICINA DI-HIDRATADA,80,2020
42,AZITROMICINA DI-HIDRATADA,80,2020
29,AZITROMICINA DI-HIDRATADA,79,2020
34,AZITROMICINA DI-HIDRATADA,79,2020
32,AZITROMICINA DI-HIDRATADA,78,2020
29,AZITROMICINA DI-HIDRATADA,78,2020
40,AZITROMICINA DI-HIDRATADA,77,2020
22,AZITROMICINA DI-HIDRATADA,77,2020
20,AZITROMICINA DI-HIDRATADA,76,2020
35,AZITROMICINA DI-HIDRATADA,76,2020
32,AZITROMICINA DI-HIDRATADA,75,2020
45,AZITROMICINA DI-HIDRATADA,74,2020
26,AZITROMICINA DI-HIDRATADA,74,2020
39,AZITROMICINA DI-HIDRATADA,73,2020
28,AZITROMICINA DI-HIDRATADA,72,2020
30,AZITROMICINA DI-HIDRATADA,72,2020
43,AZITROMICINA DI-HIDRATADA,72,2020
52,AZITROMICINA DI-HIDRATADA,72,2020
44,AZITROMICINA DI-HIDRATADA,72,2020
28,AZITROMICINA DI-HIDRATADA,72,2020
35,AZITROMICINA DI-HIDRATADA,71,2020
